Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
77,71,2015-04-07,22-322,OKC,,SAS,L (-25),1,24:51,3,9,.333,0,0,,3,4,.750,3,2,5,0,1,0,1,3,9,5.0,-10,kanteen01
78,72,2015-04-10,22-325,OKC,,SAC,W (+13),1,32:25,9,14,.643,1,1,1.000,6,8,.750,3,3,6,0,1,0,0,2,25,21.2,+9,kanteen01
79,73,2015-04-12,22-327,OKC,@,IND,L (-12),1,32:23,5,11,.455,1,1,1.000,2,3,.667,3,2,5,1,1,1,1,5,13,9.0,-8,kanteen01
80,74,2015-04-13,22-328,OKC,,POR,W (+11),1,35:38,13,20,.650,0,0,,1,2,.500,6,7,13,1,0,0,2,2,27,22.0,+13,kanteen01
81,75,2015-04-15,22-330,OKC,@,MIN,W (+25),1,33:30,11,17,.647,0,1,.000,3,3,1.000,8,7,15,2,0,1,1,3,25,25.1,+18,kanteen01
1,1,2014-10-29,21-003,BRK,@,BOS,L (-16),0,2:52,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,0,0,-0.1,+3,karasse01
2,2,2014-11-01,21-006,BRK,@,DET,W (+12),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,karasse01
3,3,2014-11-03,21-008,BRK,,OKC,W (+31),0,4:41,0,1,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,0,2,2.7,-2,karasse01
5,4,2014-11-07,21-012,BRK,,NYK,W (+11),0,6:26,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-8,karasse01
13,5,2014-11-22,21-027,BRK,@,SAS,L (-12),0,2:30,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,0.3,+3,karasse01
